Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”,Name: “Table 1 of 1 on page 46 of 110”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,,
,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Mathews,2,1,3,2,4,0,2,14
Mecklenburg,13,14,12,13,13,12,15,92
Middlesex,5,2,4,6,4,5,4,30
Montgomery,29,21,29,22,22,24,24,171
Nelson,5,5,5,9,7,4,4,39
New Kent,2,6,7,2,8,2,5,32
Newport News,56,56,52,52,56,54,52,378
Norfolk,114,127,144,138,105,129,129,886
Northampton,9,7,13,10,10,11,11,71
Northumberland,0,3,2,1,3,1,6,16
Norton,6,5,6,5,5,11,8,46
Nottoway,7,3,6,2,10,5,8,41
Orange,7,4,6,10,6,9,8,50
Page,3,10,10,7,7,5,6,48
Patrick,4,6,8,7,6,20,10,61
Petersburg,19,18,10,18,13,7,12,97
Pittsylvania,8,12,21,21,7,14,13,96
Poquoson,3,0,2,0,0,2,1,8
Portsmouth,24,23,24,24,27,34,24,180
Powhatan,0,2,5,3,8,2,6,26
Prince Edward,2,7,11,4,8,7,13,52
Prince George,3,9,7,8,5,10,6,48
Prince William,20,38,36,36,42,34,47,253
Pulaski,11,8,18,20,14,13,17,101
Radford,2,3,1,3,0,2,3,14
Rappahannock,1,0,1,1,3,3,5,14
Richmond City,166,200,188,179,225,203,170,1331
Richmond,3,1,1,2,1,1,2,11
Roanoke City,74,76,80,98,89,99,100,616
Roanoke,8,10,10,8,15,10,12,73
Rockbridge,6,11,2,9,12,13,8,61
Rockingham,10,9,11,13,19,20,15,97
Russell,9,11,29,12,29,25,19,134
Salem,3,10,6,8,10,6,8,51
Scott,3,10,9,12,9,12,6,61
Shenandoah,6,8,7,12,11,11,10,65
Smyth,9,10,9,10,11,12,10,71
Southampton,9,17,12,6,7,12,10,73
Spotsylvania,13,21,15,8,13,12,16,98
Stafford,7,7,12,4,12,8,5,55
Staunton,1,1,3,1,6,2,2,16
Suffolk,20,21,17,31,14,22,20,145
Surry,1,5,3,4,1,1,5,20
Sussex,9,3,7,9,6,3,9,46
Tazewell,8,9,15,19,20,26,37,134
Virginia Beach,57,70,73,67,72,76,93,508
Warren,7,11,5,9,16,19,10,77
Washington,19,21,9,17,25,26,26,143
Waynesboro,2,1,3,3,0,3,6,18
Westmoreland,5,1,9,6,5,3,5,34
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,~continued
,,Page 40,Page 40,,,,,
